Input test: 15_puzzle_100_instances_korf.txt
Id 	 Instance 					 Time-In-Secs 	Generated Nodes		Distance	
1 	 7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14  	 6.521467 	 12117903 			 53
2 	 14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3  	 31.490080 	 102945789 			 57
3 	 13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6  	 1.733211 	 6056702 			 55
4 	 14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15  	 69.772064 	 241699521 			 59
5 	 5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6  	 22.660002 	 79059623 			 56
6 	 4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0  	 1.621662 	 5722803 			 56
7 	 14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13  	 4.946985 	 16887712 			 52
8 	 2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0  	 53.246887 	 183551695 			 52
9 	 12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7  	 8.151971 	 27977829 			 50
10 	 3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0  	 0.236037 	 801880 			 46
11 	 13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1  	 27.448137 	 95080744 			 59
12 	 5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1  	 21.083408 	 73487818 			 57
13 	 14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15  	 0.089468 	 307759 			 45
14 	 3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7  	 3.159179 	 10935866 			 46
15 	 7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12  	 193.684067 	 677171750 			 59
16 	 13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0  	 70.117981 	 250089534 			 62
17 	 1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0  	 2.619431 	 8720114 			 42
18 	 15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12  	 305.064362 	 1103491410 			 66
19 	 6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13  	 5.391442 	 19037268 			 55
20 	 7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10  	 0.240646 	 814261 			 46
21 	 6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0  	 3.326397 	 11419567 			 52
22 	 12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2  	 10.813737 	 37807615 			 54
23 	 14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6  	 110.539604 	 379968118 			 59
24 	 10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12  	 1.542308 	 5248809 			 49
25 	 7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0  	 8.219328 	 28169133 			 54
26 	 11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12  	 12.049159 	 42042884 			 52
27 	 5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11  	 40.217369 	 142402015 			 58
28 	 14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11  	 40.380577 	 136884967 			 53
29 	 13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7  	 0.951024 	 3332031 			 52
30 	 9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12  	 8.543656 	 29883014 			 54
31 	 12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11  	 0.323067 	 1100106 			 47
32 	 12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10  	 0.405481 	 1417585 			 50
33 	 14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15  	 89.934975 	 316803843 			 59
34 	 14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8  	 48.212666 	 170938279 			 60
35 	 6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15  	 3.049420 	 10484581 			 52
36 	 1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10  	 9.554541 	 33565195 			 55
37 	 12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10  	 14.223786 	 49464935 			 52
38 	 8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4  	 43.392944 	 151966977 			 58
39 	 9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2  	 2.341800 	 8053289 			 49
40 	 11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8  	 9.682773 	 33305063 			 54
41 	 8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7  	 9.270768 	 31579676 			 54
42 	 4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10  	 0.144303 	 504926 			 42
43 	 11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0  	 8.467164 	 30769478 			 64
44 	 12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13  	 9.476223 	 32143655 			 50
45 	 3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13  	 1.806881 	 6313163 			 51
46 	 8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11  	 3.079334 	 10588815 			 49
47 	 6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12  	 0.214937 	 731196 			 47
48 	 8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14  	 0.275459 	 940234 			 49
49 	 10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8  	 402.933807 	 1406215662 			 59
50 	 12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1  	 4.155313 	 14200271 			 53
51 	 10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12  	 5.486883 	 19176025 			 56
52 	 10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5  	 118.022293 	 405152296 			 56
53 	 14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6  	 70.587257 	 248047477 			 64
54 	 12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1  	 21.193562 	 73353630 			 56
55 	 13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11  	 0.082381 	 280810 			 41
56 	 3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8  	 183.334213 	 631158748 			 55
57 	 5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14  	 1.024224 	 3526690 			 50
58 	 5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13  	 1.013709 	 3443274 			 51
59 	 15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3  	 213.705322 	 734843317 			 57
60 	 11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0  	 518.085510 	 1825013507 			 66
61 	 6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15  	 1.165082 	 3981298 			 45
62 	 4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5  	 11.060887 	 38497563 			 57
63 	 8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3  	 207.649109 	 695833721 			 56
