Input test: 15_puzzle_100_instances_korf.txt
Id 	 Instance 					 Time-In-Secs 	Generated Nodes		Distance	
1 	 7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14  	 4.035239 	 3353404 			 53
2 	 14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3  	 93.528130 	 77420556 			 57
3 	 13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6  	 1.286649 	 1076767 			 55
4 	 14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15  	 121.519836 	 100193266 			 59
5 	 5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6  	 25.587612 	 20947830 			 56
6 	 4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0  	 1.734009 	 1420095 			 56
7 	 14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13  	 10.565333 	 8472449 			 52
8 	 2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0  	 103.233337 	 84954671 			 52
9 	 12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7  	 17.993147 	 14700506 			 50
10 	 3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0  	 0.336795 	 252954 			 46
11 	 13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1  	 54.332672 	 44048341 			 59
12 	 5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1  	 30.963812 	 25663549 			 57
13 	 14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15  	 0.215500 	 174848 			 45
14 	 3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7  	 1.058025 	 906155 			 46
15 	 7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12  	 44.523617 	 38277791 			 59
16 	 13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0  	 156.253510 	 132488973 			 62
17 	 1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0  	 2.609777 	 2070143 			 42
18 	 15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12  	 317.242737 	 270467849 			 66
19 	 6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13  	 13.616304 	 11503614 			 55
20 	 7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10  	 0.736289 	 594720 			 46
21 	 6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0  	 9.999642 	 8079205 			 52
22 	 12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2  	 29.833069 	 24479681 			 54
23 	 14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6  	 56.423119 	 47314058 			 59
24 	 10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12  	 1.134998 	 914885 			 49
