Input test: topspin_14_4/topspin_14_4.d=2000000
Id       Instance                                        Time-In-Secs   Generated Nodes         Distance
1        2 1 11 8 12 4 3 7 6 5 0 10 9 13         0.001035        228                     10
2        6 10 12 5 4 8 7 0 9 3 1 11 2 13         0.027875        6309                    12
3        8 11 0 2 4 1 12 6 9 3 5 7 10 13         0.089528        16784                   12
4        3 6 11 8 5 12 7 0 9 1 4 2 10 13         0.011257        3911                    12
5        5 7 12 6 0 3 9 8 1 2 10 4 11 13         0.002440        700                     11
6        7 4 12 11 0 3 8 9 2 6 1 10 5 13         0.003121        1001                    11
7        3 6 12 2 8 1 7 5 9 0 4 11 10 13         0.000366        97                      10
8        2 1 7 6 4 0 11 5 8 9 12 10 3 13         0.005915        1397                    11
9        10 11 3 2 5 9 8 7 12 6 0 4 1 13         0.000100        22                      9
10       0 11 9 12 8 7 4 1 2 5 3 10 6 13         0.007977        1488                    11
